generated_at,aircraft_tracked,aircraft_airborne,incremental_co2_kg,dark_aircraft_flagged
2026-08-18T07:17:26.355879+00:00,6705,5989,13098006.4,18
2026-08-18T07:32:10.463124+00:00,6673,6021,13125249.6,26
2026-08-18T07:47:16.675934+00:00,6761,6105,13156016.1,21
2026-08-18T08:02:10.493038+00:00,6916,6234,13724480.4,22
2026-08-18T08:17:26.162044+00:00,6929,6262,13853353.1,17
2026-08-18T08:32:09.958835+00:00,6978,6349,13999420.1,14
2026-08-18T08:47:14.889044+00:00,7097,6451,14186393.4,18
2026-08-18T09:02:09.700422+00:00,7268,6511,14439849.1,24
2026-08-18T09:17:23.964756+00:00,7461,6667,14867286.5,15
2026-08-18T09:32:09.799206+00:00,7450,6733,15160179.0,16
2026-08-18T09:47:14.455794+00:00,7425,6696,15103859.9,21
2026-08-18T10:02:10.394658+00:00,7510,6712,15012133.0,10
2026-08-18T10:17:24.967439+00:00,7732,6960,15543147.3,16
2026-08-18T10:32:10.257622+00:00,7851,7067,15822230.6,17
2026-08-18T10:47:15.464474+00:00,8072,7280,16109952.5,14
2026-08-18T11:02:09.861275+00:00,8073,7385,16171631.8,14
2026-08-18T11:17:23.565838+00:00,8800,7919,17167604.5,13
2026-08-18T11:32:11.774019+00:00,9171,8293,17603392.2,19
2026-08-18T11:47:16.000162+00:00,9497,8595,17413120.7,21
2026-08-18T12:02:09.275984+00:00,9765,8826,17581315.7,14
2026-08-18T12:17:27.269006+00:00,10309,9310,18242869.6,14
2026-08-18T12:32:12.983177+00:00,10769,9741,18784687.1,19
2026-08-18T12:47:16.166920+00:00,11187,10178,19050214.0,16
2026-08-18T13:02:09.583644+00:00,11534,10504,19232779.1,10
2026-08-18T13:17:22.856890+00:00,11927,10866,19649196.0,16
2026-08-18T13:32:09.870998+00:00,12187,11158,19937269.5,15
2026-08-18T13:47:15.688994+00:00,12564,11486,20142341.6,20
2026-08-18T14:02:10.294639+00:00,12794,11630,20321963.9,22
2026-08-18T14:17:23.874665+00:00,12992,11895,20714858.6,13
2026-08-18T14:32:10.977293+00:00,13241,12195,20916529.8,16
2026-08-18T14:47:14.393658+00:00,13334,12293,20817799.5,20
2026-08-18T15:02:11.489218+00:00,13249,12231,20651307.0,12
2026-08-18T15:17:26.660645+00:00,13297,12254,20624822.3,18
2026-08-18T15:32:10.885456+00:00,13341,12240,20579278.8,17
2026-08-18T15:47:16.378013+00:00,13357,12170,20368024.9,15
2026-08-18T16:02:09.894332+00:00,13056,11911,20075061.3,18
2026-08-18T16:17:33.475082+00:00,12929,11852,20117946.4,14
2026-08-18T16:32:18.399735+00:00,12918,11926,20304185.0,15
2026-08-18T16:47:17.760443+00:00,12992,11960,20157659.7,6
2026-08-18T17:02:10.458131+00:00,12766,11706,19827933.5,12
2026-08-18T17:17:29.076438+00:00,12705,11649,19734448.8,9
2026-08-18T17:32:11.260037+00:00,12748,11646,19756165.9,18
2026-08-18T17:47:15.087542+00:00,12708,11628,19812184.8,14
2026-08-18T18:02:09.767428+00:00,12654,11534,19820981.5,10
2026-08-18T18:17:28.459938+00:00,12482,11474,19679445.1,16
2026-08-18T18:32:11.864406+00:00,12321,11318,19199512.2,9
2026-08-18T18:47:14.597122+00:00,12199,11149,18941395.5,12
2026-08-18T19:02:12.962038+00:00,12028,10995,18898403.7,8
2026-08-18T19:17:24.478621+00:00,12024,11069,18913694.1,15
2026-08-18T19:32:11.208455+00:00,11966,10969,18831925.2,13
2026-08-18T19:47:14.772417+00:00,12509,11676,19706881.8,5
2026-08-18T20:02:09.955527+00:00,11842,10791,18634204.0,7
2026-08-18T20:17:28.280630+00:00,11762,10701,18416586.6,6
2026-08-18T20:32:10.183442+00:00,11616,10541,18345466.9,5
2026-08-18T20:47:14.691516+00:00,11523,10508,17901668.6,11
2026-08-18T21:02:10.154304+00:00,11364,10370,17706191.0,12
2026-08-18T21:17:27.769816+00:00,11255,10223,17624647.2,8
2026-08-18T21:32:10.099651+00:00,11147,10077,17360415.9,7
2026-08-18T21:47:14.684086+00:00,11003,9916,17339243.9,7
2026-08-18T22:02:10.093253+00:00,10695,9618,16949019.4,4
2026-08-18T22:17:23.960453+00:00,10471,9418,16548351.2,7
2026-08-18T22:32:10.493209+00:00,10362,9311,16293520.9,3
2026-08-18T22:47:15.161382+00:00,10029,9110,15879849.2,7
2026-08-18T23:02:09.459175+00:00,9809,8861,15739197.6,4
2026-08-18T23:17:28.556740+00:00,9672,8715,15376275.6,5
2026-08-18T23:32:10.202079+00:00,9489,8548,15113885.0,5
2026-08-18T23:47:15.960463+00:00,9299,8318,14877015.3,14
2026-08-19T00:02:09.867364+00:00,9132,8136,14782432.6,10
2026-08-19T00:17:27.080379+00:00,8751,7895,14525157.2,9
2026-08-19T00:32:09.965062+00:00,8537,7671,14270093.9,7
2026-08-19T00:47:16.587588+00:00,8306,7427,14097617.1,10
2026-08-19T01:02:10.560837+00:00,7982,7147,13622483.5,12
2026-08-19T01:17:28.486133+00:00,7837,7018,13650895.8,17
2026-08-19T01:32:10.285790+00:00,7748,6889,13360859.2,14
2026-08-19T01:47:15.161819+00:00,7623,6824,13397550.7,23
2026-08-19T02:02:09.158757+00:00,7574,6746,13392301.2,14
2026-08-19T02:17:24.058412+00:00,7413,6705,13495348.8,9
2026-08-19T02:32:10.684337+00:00,7222,6500,13354491.8,13
2026-08-19T02:47:16.770592+00:00,7075,6334,13278086.9,16
